"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","stim","index","workerId","response"
"4236.200000017881","<p style=""font-size:26px;""> Hello and thank you for taking part in our experiment! </p><p style=""font-size:24px;""> The experiment consist of a Human Detection Task followed by some questionnaires, and it takes around 30 minutes to complete. </p><p style=""font-size:22px;""> <i> Press the spacebar to continue. </i> </p>","32","html-keyboard-response","0","4242","0.0-0.0","","","",""
"8880.800000011921","<p style=""font-size:26px;""> Please ensure the following: </p><p style=""font-size:22px;""> (1) You are in a room with no distractions (no people, music, phones, etc.), </p><p style=""font-size:22px;""> (2) For the next 30 minutes, you will be able to stay focused on the task and questionnaires, </p><p style=""font-size:22px;""> As the study progresses, you may find that you start to feel tired. Please do your best to stay focused throughout, since our research depends on it! </p><p style=""font-size:24px;""> <i> Press the spacebar to continue. </i> </p>","32","html-keyboard-response","1","13125","0.0-1.0","","","",""
"25218.5","<p style=""font-size:26px;""> Human Detection Task </p><p style=""font-size:22px;""> In this task, you will see a series of videos containing one or two people. </p><p style=""font-size:22px;""> In half of the videos there will be two people -one on each side of the screen-, but one person will be masked with moving dots. </p><p style=""font-size:22px;""> For the other half of the videos there will be only one person on one side, and on the other side there will be only moving  dots. </p><p style=""font-size:22px;""> In the next screen, you will see three example videos with two people. One person will be masked with few moving dots. You do not need to do anything now, just see. </p><p style=""font-size:24px;""> <i> Press the spacebar to continue. </i> </p>","32","html-keyboard-response","2","38344","0.0-2.0","","","",""
"null","","null","video-keyboard-response","3","43485","0.0-3.0-0.0","stim/practice/noi001_act06_scr0_con1_tri009.mp4","","",""
"null","","null","video-keyboard-response","4","49183","0.0-3.0-0.1","stim/practice/noi001_act08_scr0_con1_tri020.mp4","","",""
"null","","null","video-keyboard-response","5","55367","0.0-3.0-0.2","stim/practice/noi001_act10_scr0_con1_tri019.mp4","","",""
"34473.30000001192","<p style=""font-size:26px;""> Human Detection Task </p><p style=""font-size:22px;""> In these videos may have seen two people, one on each side of the screen. </p><p style=""font-size:22px;""> As you may have noticed, one of the human shapes had extra moving dots and less dots conforming the human shape. But you are still able to idenfity a human form. </p><p style=""font-size:22px;""> In the next screen, you will see three example videos with only one person on one side, and on the other side you will only see moving dots. </p><p style=""font-size:24px;""> <i> Press the spacebar to continue. </i> </p>","32","html-keyboard-response","6","89841","0.0-4.0","","","",""
"null","<div style=""font-size:60px; color:white;"">+</div>","null","html-keyboard-response","7","90850","0.0-5.0-0.0","","","",""
"null","","null","video-keyboard-response","8","95999","0.0-5.0-1.0","stim/practice/noi001_act06_scr1_con1_tri029.mp4","","",""
"null","<div style=""font-size:60px; color:white;"">+</div>","null","html-keyboard-response","9","97014","0.0-5.0-0.1","","","",""
